a	art.一(个)；每一(个)；(同类事物中)任一个
feeling	n.感情;心情;知觉;同情
fell	v.击倒;打倒(疾病等);砍伐a.凶猛的;可怕的
fellow	n.人,家伙;伙伴,同事 a.同样的,同事的
fellowship	n.伙伴关系;联谊会,团体
female	n.女性;女人;雌兽 a.女性的;雌的;柔弱的
feminine	a.女性的;娇柔的
fence	n.篱笆;围栏;剑术 v.用篱笆瓦围住;击剑
ferry	n.摆渡;渡船;渡口v.摆渡;渡运(人,车或物等)
fertile	a.肥沃的,富饶的;能繁殖的
fertilizer	n.(fertiliser)肥料
festival	n.节日;音乐节;戏剧节 a.节日的;快乐的
fetch	v.取来;接来;引出;售得;吸引 n.取得;拿
feudal	a.封建的;封地的;领地的
fever	n.发热,狂热
few	a.[表肯定]有些，几个；[表否定]几乎没有的
fiber	n.(fibre)纤维;构造;纤维制品
fiction	n.虚构,编造;小说
field	n.田野；运动场；(电或磁)场；领域，范围
fierce	a.凶猛的,残忍的;狂热的,强烈的
fifteen	num.十五 pron./a.十五(个，只...)
fifty	num.五十，五十个
fight	v./n.打(仗),搏斗,斗争,战斗
figure	n.体形;轮廓;数字;图形v.描绘;计算;推测
file	n.锉刀;文件,档案 v.锉
fill	v.(with)填满,充满
film	n.电影；胶片；薄膜，薄层 vt.把..拍成电影
filter	n.滤器,滤纸
final	a.最终的,决定性的 n.结局;决赛;期末考试
finally	ad.最后,最终;决定性地
finance	n.财政,金融 v.为…提供资金
financial	a.财政的,金融的
find	v.(found,found)找到；发现；发觉；感到
finding	n.发现,发现物;(常pl.)调查/研究结果
fine	a.晴朗的,美好的,细致的 v./n.罚金,罚款
finger	n.手指;指状物;指针
finish	n.完成;结束;磨光 v.完成;结束;用完;毁掉
finite	a.有限的；[数]有穷的,限定的
fire	n.火；火灾，失火；炉火 vi.开火 vt.放(枪)
fireman	n.消防队员
fireplace	n.壁炉
firm	a.坚固的;坚决的,坚定的 n.公司,商号
first	a./ad.第一；最初;首次 n.开始pron.第一名
fish	n.(pl.fish(es))鱼；鱼肉 v.捕鱼；钓鱼
fisherman	n.渔夫，捕鱼人
fist	n.拳头 vt.用拳头打；紧握
fit	a.(病的)发作，痉挛 v./a.n.合适,试穿,安装
fitting	a.适当的,恰当的 n.(常pl.)配件,附件;装配
five	num.五 pron./a.五(个，只...)
fix	v.(使)固定;修理;安装;决定;注视 n.困境
fixture	n.固定设备;预定日期;比赛时间;定期存款
flag	n.旗
flame	n.火焰,火苗;热情;光辉 v.发火焰,燃烧
flap	n.垂下物,帽沿,袋盖 n./v.拍打,拍动
flare	v./n.闪耀,闪烁
flash	n./a.闪光(的) v.发闪光,闪亮;闪现
flat	a.平坦的,扁平的,平淡的 n.一套房间;平面
flatter	vt.奉承;使高兴;使满意;胜过
flavor	n.(flavour)情味;风味;滋味 v.给…调味
flaw	n.裂缝;缺陷 v.使破裂;使有缺陷
flee	v.逃走;逃避
fleet	n.舰队,船队
flesh	n.肉,肌肉
flexible	a.柔韧的,易弯曲的,灵活的,能变形的
flight	n.飞翔,飞行;航班;航程;逃跑;楼梯的一段
fling	v.(用力地)扔,抛,丢
float	n.飘浮;漂流物 v.浮动;漂浮;传播;动摇
flock	n.(一)群,(禽,畜等的)群;大量 v.群集,成群
flood	n.洪水,水灾 v.淹没,发大水,泛滥
floor	n.地板,(楼房)的层
flour	n.面粉
flourish	n./v.繁荣,茂盛,兴旺
flow	v.流,流动 n.流量,流速
flower	n.花；精华，精粹，精英；盛时 vi.开花
flu	n.(influenza)流行性感冒
fluctuate	v.(使)波动;(使)起伏
fluent	a.流利的,流畅的
fluid	a.流动的,液体的 n.流体,液体
flush	n.脸红v.发红;奔流a.洋溢的;富裕的;齐平的
fly	n.飞行;苍蝇  v飞行;飘杨 a.机敏的
foam	v./n.泡沫,起泡沫
focus	n.焦点,(活动,兴趣等的)中心 v.(on)使聚集
fog	n.雾气，雾 v.以雾笼罩，被雾笼罩
fold	v.折叠;合拢;抱住 n.褶,褶痕;羊栏;信徒
folk	n.人们;民族;亲属 a.民间的
follow	v.跟随,接着;领会;沿着…前进,遵循;结果是
following	a.下列的，下述的，其次的，接着的
fond	a.(of)喜爱的,爱好的
food	n.食物，粮食，养料
fool	n.傻子，笨蛋vt.欺骗，愚弄vi.干蠢事
foolish	a.愚笨的,愚蠢的
foot	n.(pl.feet)脚，足；英尺；底部
football	n.足球
footstep	n.脚步(声),足迹
for	prep.为了；给；代替；向；支持 conj.因为?
forbid	v.禁止,不许
force	n.力量,力;势力;(pl.)(总称)军队 v.强迫
fore	ad.在前面 a.先前的；在前部的 n.前部
forecast	v./n.预测,预报
forehead	n.前额;(任何事物的)前部
foreign	a.外国的,(to)无关的;外来的;异质的
foreigner	n.外国人
foremost	a.最先的;最初的; 主要的 ad.首要地
foresee	v.预见,预知
forest	n.森林
forever	adv.(for ever)永远；总是
forge	v.锻造,伪造 n.锻工车间;锻炉
forget	v.忘记,遗忘
forgive	v.原谅,饶恕
fork	n.叉,耙;叉形物;餐叉
form	n.形状,形式;表格 v.组成,构成;形成
formal	a.正式的;形式的
format	n.(出版物的)开本,版式,格式 vt.设计;安排
formation	n.形成;构成;组织;构造;编制;塑造
former	a.以前的,在前的 pron.前者
formidable	a.强大的;令人敬畏的;可怕的;艰难的
formula	n.(pl.formulae)公式;规则;分子式;药方
formulate	v. 用公式表示;规划;设计;系统地阐述
forth	ad.向前；向外，往外
forthcoming	a.即将到来的;准备好的;乐意帮助的;n.来临
fortnight	n.两星期
fortunate	a.幸运的,侥幸的
fortune	n.运气;命运;财产;财富
forty	num./a.四十 pron.四十(个，只...)
forum	n.论坛,讨论会
forward	ad.(also forwards)向前 a.向前的 v.转交
fossil	n.化石
foster	vt.养育;收养;怀抱;鼓励 a.收养的 n.养育者
foul	a.污秽的;邪恶的 v.弄脏;妨害;犯规 n.犯规


found	vt.建立;创立;创办;使有根据;铸造;熔制
foundation	n.基础,根本,建立,创立;地基,基金,基金会
fountain	n.泉水,喷泉,源泉
four	num.四 pron./a.四(个，只...)
fourteen	num.十四，十四个
fox	n.狐狸
fraction	n.碎片,小部分,一点儿;分数
fracture	n.裂缝(痕);骨折 v.(使)断裂,(使)折断
fragile	a.易碎的，脆的，易损坏的；虚弱的，脆弱的
fragment	n.碎片,小部分,片断
fragrant	a.香的;芬芳的
frame	n.框架;体格;骨架;组织;机构 v.设计;制定
framework	n.构架;框架;结构;组织;机构
frank	a.坦白的,直率的
fraud	n.欺诈，诈骗；欺骗(行为)；骗子；假货
free	a.自由的;免费的;免税的;空闲的 vt.释放
freedom	n.自由,自主,免除,特权
freeze	v.使结冰,使凝固
freight	n.货物,货运,运费
frequency	n.频率,周率
frequent	a.时常发生的,频繁的
fresh	a.新鲜的,无经验的
friction	n.磨擦,摩擦力
Friday	n.星期五
fridge	n.(refrigerator的略语)冰箱
friend	n.朋友
friendly	a.友好的,友谊的
friendship	n.友谊,友好
fright	n.恐怖
frighten	v.使惊恐
fringe	n.边缘；(窗帘)缘饰；额前垂发 vt.饰…的边
frog	n.蛙
from	prep.从，自从；由于；离；根据，按；去除
front	a.前面的,前部的 n.正面;前线,战线 v.面对
frontier	n.国境,边境;尖端,新领域
frost	n.霜,霜冻,严寒
frown	v.皱眉
fruit	n.水果,果实;成果,效果
fruitful	a.多产的;果实累累的,富有成效的
frustrate	vt.挫败,阻挠,使灰心
fry	v.油煎,油炸
fuel	n.燃料 vt.给…加燃料
fulfill	v.(fulfil)完成,履行,实践,满足
full	a.(of)满的,充满的 a./ad.完全,充分
fume	n.(浓烈或难闻的）烟，气，汽
fun	n.玩笑,娱乐;有趣的人(或事物)
function	n.功能,作用;(pl.)职务;函数 v.起作用
fund	n.资金,基金;存款,现款;(知识等的)累积
fundamental	a.基础的,基本的 n.(pl.)基本原则,基本原理
funeral	n.丧葬,葬礼
funny	a.滑稽的,可笑的
fur	n.毛,毛皮
furious	a.狂怒的,狂暴的,猛烈的
furnace	n.炉子,熔炉
furnish	v.供应,提供;装备,布置
furniture	n.家具
further	ad./a.更远,更往前;进一步 v.促进,增进
furthermore	ad.而且,此外
fuse	n.保险丝,导火线,引信 v.熔化,熔合
fuss	n./v.忙乱,大惊小怪
futile	a.无效的，无用的，无希望的
future	n.将来,未来;前途,前景 a.将来的,未来的
gain	v.获得；增加；表等走快 n.增进,增加；收益
galaxy	n.星系;(the Galaxy)银河(系);一群显赫的人
gallery	n.长廊,画廊,美术馆
gallon	n.加仑
gallop	v./n.奔驰,飞奔
gamble	n./v.投机,冒险;赌博
game	n.游戏，娱乐；比赛；(pl.)运动会 vi.赌博
gang	n.一帮,一群,一伙
gaol	n.(jail)监狱；(不加冠词)监禁 vt.使…坐牢
gap	n.缺口;差距;空白;缺乏
garage	n.车库,飞机库;修车厂
garbage	n.垃圾
garden	n.(菜,花)园;公园
garlic	n.蒜，大蒜粉
garment	n.(一件)衣服
gas	n.气体；煤气；汽油；毒气vt.毒(死)；加油
gasoline	n.(gasolene)汽油
gasp	n.喘息,气喘 v.喘息;气吁吁地说
gate	n.大门；入口；观众人数，门票收入
gather	v.聚集,聚拢;推测,推断
gauge	n.标准尺寸;规格;量规,量表 v.测量
gay	a.快乐的,愉快的,色彩鲜艳的 n.同性恋
gaze	v./n.凝视,注视
gear	n.齿轮,传动装置 v.(to)调整,使适合
gender	n.(生理上的)性；(名词、代词等的)性
gene	n.基因
general	a.一般的,普通的;总的,大体的 n.将军
generalize	v.(generalise)归纳,概括;推广,普及
generate	vt.产生,发生;生殖
generation	n.产生,发生;一代(人)
generator	n.发电机,发生器
generous	a.宽宏大量的,慷慨的
genetic	a.遗传(学)的 n.[-s]遗传学
genius	n.天才
gentle	a.和蔼的,文雅的,有礼貌的
gentleman	n.绅士,先生
gently	ad.文雅地,有礼貌地;轻轻地
genuine	a.真正的,名副其实的
geography	n.地理(学)
geology	n.地质(学)
geometry	n.几何(学)
germ	n.微生物,细菌
gesture	n.姿势,姿态,手势 v.做手势
get	v.获得，得到；使，使得；变得，成为；到达
ghost	n.鬼魂,幽灵
giant	n.巨人 a.巨大的
gift	n.礼品,赠品;天赋,才能
gigantic	a.巨大的,庞大的
giggle	vi.／n.痴笑；咯咯地笑 vt.咯咯地笑着说
girl	n.少女，姑娘，女孩；女职员
give	v.给，授予；供给；献出，让步；捐赠；发表
glad	a.高兴的，快活的；乐意的，情愿的
glamor	n.(glamour)魅力;魔法 vt.迷惑
glance	v.(at,over)扫视 n.匆匆看,一瞥,一眼
glare	vi.怒目而视;发射强光 n.强光;怒视;炫耀
glass	n.玻璃;玻璃杯;镜子;(pl.)眼镜
glide	n./v.溜,滑行;(时间)消逝
glimpse	n./v.一瞥,瞥见
glitter	n.光辉,灿烂 v.闪闪发光;闪耀
global	a.球形的;全球的,全世界的;全面的
globe	n.球体,地球仪;地球,世界
gloomy	a.阴暗的,阴沉的,令人沮丧的,阴郁的
glorious	a.壮丽的,辉煌的;光荣的
glory	n.光荣,荣誉
glove	n.手套
glow	v.发热,发光,发红 n.白热
glue	n.胶,胶水 v.胶合,粘贴
go	v.去，离开；走；放置；变成；运转 n.围棋
goal	n.目的,目标;守门员,球门;进球
goat	n.山羊
god	n.上帝(小写god泛指所有的“神，神像”)
gold	n.金，黄金；金币；金黄色 a.金的，金制的
golden	a.金黄色的;贵重的,极好的
golf	n.高尔夫球
good	a.好的;善良的;擅长的;乖的 n.好处;利益
goodby	int.(goodbye)再见
goodness	n.善良，仁慈；(食物等)精华 int.天哪
goods	n.(pl.)货物，商品
goose	n.(pl.geese)鹅,雌鹅,鹅肉
gorgeous	a.华丽的；灿烂的；美丽的；宜人的；棒的
gossip	n./v.(说)闲话,闲聊
govern	v.统治,管理;决定,支配
government	n.政府,内阁;管理,支配;政治,政体
governor	n.统治者,管理者,总督,州(省)长
gown	n.长袍，特殊场合穿的长服
grab	v./n.(at)抓(住);夺(得)
grace	n.优美,文雅;恩惠,恩泽;宽限,缓刑;感恩祷告
graceful	a.优美的,文雅的,大方的
gracious	a.亲切的,客气的;宽厚的,仁慈的
grade	n.等级,级别;年级;分数 v.分等,分级
gradual	a.逐渐的,逐步的
graduate	n.大学毕业生,研究生 v.大学毕业a.毕了业的
grain	n.谷物,谷类;颗粒,细粒
gramme	n.(gram)克
grammar	n.语法,语法书
grand	a.盛大的,豪华的;重大的,主要的
grandmother	n.祖母,外祖母
grant	v.同意,准予;授予 n.授予物;津贴;转让证书
grape	n.葡萄
graph	n.图表,曲线图
graphic	a.绘画似的, 图解的,生动的
grasp	v./n.抓住,抓紧;掌握,领会
grass	n.草，草地
grateful	a.(to,for)感激的;感谢的
gratitude	n.感激,感谢
grave	n.坟墓 a.严肃的,庄重的
gravity	n.重力,引力;严肃,庄重
graze	vi.吃青草 vt.放牧;擦伤;掠过 .n.擦伤(处)
grease	n.动物脂,油脂,润滑脂 v.抹油,润滑
great	a.伟大的；重要的；大量的；很好的；美好的
greedy	a.贪吃的,贪婪的,渴望的
green	a.绿色的;生的;未成熟的 n.绿色;蔬菜;植物
greenhouse	n.温室
greet	v.致敬,敬意,迎接;扑(鼻),入(耳),触(目)
greeting	n.问候,致敬
grey	n./a.(gray)灰色(的)
grief	n.悲伤，悲痛；悲伤的事，悲痛的缘由
grieve	v.使悲伤,使伤心
grim	a.严酷的，令人害怕的；不愉快的，讨厌的
grin	n./vi.露齿而笑，咧嘴一笑
grind	v.磨(碎),碾(碎)
grip	v./n.紧握,抓紧;掌握
groan	v./n.呻吟
grocer	n.食品商,杂货商
grope	n./v.摸索,探索
gross	a.总的,毛(重)的;粗鲁的,粗俗的 n.总额
ground	n.地，地面，土地；场地，场所；理由，根据
group	n.群,组 v.分组
grow	v.生长，成长；渐渐变成；栽培，种植；发展
grown-up	a.成长的,成熟的,成人的 n.成年人
growth	n.生长,增长,发展
guarantee	n.保证,保证书 v.保证,担保
guard	v./n.保卫，守卫，提防 n.哨兵，警卫，看守
guess	v./n.猜测，推测；以为；猜想[同]surmise
guest	n.客人,宾客,旅客
guidance	n.引导,指导
guide	n.领路人;指南,导游 v.领路;指导;支配;管理
guideline	n.指导方针，指导原则，准则，标准
guilt	n.罪过,内疚
guilty	a.(of)有罪的,内疚的
guitar	n.吉他 vi.弹吉他
gulf	n.海湾
gum	n.树胶;口香糖
gun	n.枪，炮，手枪
gut	n.[pl.]胆量；内脏a.本能的vt.取出内脏
guy	n.家伙, 人
gymnasium	n.(gym)体育馆，健身房
habit	n.习惯,习性,脾性
habitat	n.(动物的)栖息地，(植物的)产地
hail	v.下雹;欢呼,欢迎 n.雹
hair	n.毛发，头发；绒毛，毛状物
half	n.半，一半 a.一半的，不完全的 ad.一半地
hall	n.礼堂,会堂,办公大楼,门厅
halt	n.止步,停步,停止前进 v.止步,(使)停止
ham	n.火腿
hamburger	n.汉堡包,牛肉饼
hammer	n.铁锤,槌,榔头 v.锤击,敲打
hamper	v.妨碍,阻碍,牵制
hand	n.手，人手，雇员；专门业人员；指针 v.交
handbook	n.手册,指南
handful	n.一把;少数;一小撮
handicap	v.妨碍 n.(身体或智力方面的)缺陷;不利条件
handkerchief	n.手帕
handle	n.柄,把手,拉手 v.处理,对待,操纵;触,抚养
handsome	a.漂亮的,英俊的;慷慨的,数量可观的
handwriting	n.笔迹,手迹,书法
handy	a.手边的,近便的;方便的
hang	v.悬挂,垂吊;吊死,绞死
happen	v.(偶然)发生；碰巧，恰好
happy	a.快乐的，幸福的；乐意的；令人满意的
harassment	n.骚扰，扰乱；烦恼，烦乱
harbor	n.(harbour)海港;避难所 v.隐匿,窝藏
hard	a.坚硬的；结实的；困难的；难忍的；严厉的
harden	v.(使)变硬
hardly	ad.几乎不,简直不;仅仅
hardship	n.艰难,困苦
hardware	n.五金,金属制品;硬件
harm	n./v.伤害,损害,危害
harmony	n.协调,和谐;融洽
harness	v.治理,利用 n.马具,挽具
harsh	a.粗糙的；(声音)刺耳的；苛刻的，严酷的
harvest	n.收获,收成;成果,后果 v.收获,收割
haste	n.匆忙,急速;草率 v.赶快;匆忙
hasty	a.匆忙的,仓促的;草率的
hat	n.帽子(一般指有边的帽子)
hatch	v.孵,孵出;策划,图谋 n.舱口,小门
hate	v.恨,憎恨;不愿,不喜欢 n.恨,憎恶
hatred	n.憎恨,憎恶,怨恨


haul	v.拖曳,拖运,用力拖
have	v.有，具有；体会，经受；从事；使；吃，喝
hawk	n.鹰,隼
hay	n.干草
hazard	n.危险,冒险,危害 v.冒险,拼命
he	pron.他；(不论性别的)一个人
head	n.头；顶部；领导,首脑 v.主管；位于..顶部
headache	n.头痛
heading	n.标题
headline	n.大字标题,新闻标题
headmaster	n.校长
headquarters	n.司令部,指挥部;总部,总局
heal	v.治愈,愈合
health	n.健康,健康状况;卫生
healthy	a.健康的,健壮的;有益健康的,卫生的
heap	n.(一)堆,大量,许多 v.(up)堆,堆起
hear	v.听见；审讯；(from)收到..的信/电话;听说
hearing	n.听,倾听;听力;审讯
heart	n.心(脏)；内心，感情；热忱；中心，要点
heat	n.热,热度;热烈,激烈 v.(给)加热,(使)变热
heave	v.(用力)举，提，拉；扔；拖；呕吐n.举起
heaven	n.天,天空,天堂;(Heaven)上帝,神
heavy	a.重的,重型的;沉重的,大量的,猛烈的
hedge	n.篱笆,树篱,障碍物 v.用树篱围住
heel	n.脚后跟,踵,鞋跟
height	n.高,高度;(常pl.)高地,高处
heighten	v.提高,升高
heir	n.继承人
helicopter	n.直升(飞)机
hell	n.地狱,阴间;苦境,极大痛苦
hello	int.英(美)喂,你好(用来打招呼或引起注意)
helmet	n.头盔,钢盔
help	v.帮(援)助；有助于；[呼救]救命n.帮助(手)
helpful	a.(to)有帮助的,有益的,有用的
hemisphere	n.半球
hen	n.母鸡
hence	ad.从此,今后;因此
henceforth	ad.今后
her	pron.[she的宾格]她；[she的所有格]她的
herb	n.药草，(调味用的)香草，草本植物
herd	n.群,兽群,牛群 v.放牧,群集
here	ad.在(到，向)这里；这时；在这一点上
